AAPL_Returns,AAPL_Volume,MSFT_Returns,MSFT_Volume,NVDA_Returns,NVDA_Volume,AMZN_Returns,AMZN_Volume,JNJ_Returns,JNJ_Volume,JPM_Returns,JPM_Volume,XOM_Returns,XOM_Volume,CAT_Returns,CAT_Volume,PG_Returns,PG_Volume,NEE_Returns,NEE_Volume
261.98602294921875,90483000,515.8245239257812,14665600,182.6298370361328,128544700,216.47999572753906,38882800,192.49778747558594,8034700,302.3599853515625,6894900,111.7228012084961,9523600,531.1799926757812,2170800,150.9047393798828,5601300,84.19983673095703,5225700
262.5155029296875,46695900,516.6929321289062,15586200,181.14991760253906,124240200,222.02999877929688,50494600,190.66940307617188,6716000,297.0899963378906,7372700,111.73271942138672,9202300,524.6500244140625,2259100,150.5670928955078,6013400,83.42508697509766,7282200
258.19970703125,45015300,519.5675659179688,18962700,180.26995849609375,162249600,217.9499969482422,44308500,191.72271728515625,6343100,294.1099853515625,8054100,113.71537780761719,12938800,513.9099731445312,4149000,151.14306640625,6394400,82.2828140258789,9208900
259.3285827636719,32754900,519.5875244140625,14023500,182.1498565673828,111363700,221.08999633789062,31540000,191.25567626953125,8882500,294.5400085449219,5438800,114.97437286376953,15001100,520.5,2619400,151.1529998779297,8205400,82.6900634765625,5630800
262.56549072265625,38253700,522.6318359375,15532400,186.24961853027344,131296700,224.2100067138672,38685100,189.19873046875,6903400,300.44000244140625,7228300,114.38948059082031,9919400,522.72998046875,2392000,152.49000549316406,11968500,83.8422622680664,6249800
268.5496520996094,44888200,530.527099609375,18734700,191.47933959960938,153452700,226.97000122070312,38267000,189.099365234375,7126000,304.1499938964844,5642200,114.9347152709961,10975400,527.0700073242188,2493800,151.74000549316406,7775300,85.45136260986328,18741000
268.7394714355469,41534800,541.057373046875,29986700,201.01881408691406,297986200,229.25,47100000,185.75062561035156,8329500,305.3599853515625,6336000,114.03260040283203,9535200,524.469970703125,2775400,151.3699951171875,5819300,83.0079116821289,13998100
269.4388122558594,51086700,540.538330078125,36023000,207.02847290039062,308829600,230.3000030517578,52036200,185.42271423339844,10551100,305.510009765625,7520300,115.4402847290039,12570600,585.489990234375,6948500,148.77000427246094,7405500,81.21009063720703,11681500
271.13714599609375,69886500,524.77783203125,41023100,202.8787078857422,178864400,222.86000061035156,102252900,187.8572540283203,7072500,309.44000244140625,7514600,113.695556640625,16172900,583.1500244140625,2574800,149.5800018310547,6760700,81.09088897705078,7620100
270.108154296875,86167100,516.8426513671875,34006400,202.47872924804688,179802200,244.22000122070312,166340800,187.6783905029297,8791700,311.1199951171875,7721300,113.36841583251953,20213400,577.260009765625,2974800,150.3699951171875,7930300,80.85250854492188,9407300
268.7894287109375,50194600,516.0641479492188,22374700,206.8684844970703,180267300,254.0,95997800,185.08485412597656,7542600,309.3500061035156,7770000,112.77362060546875,12290300,570.5900268554688,2439400,148.02000427246094,8946400,81.22994995117188,8508200
