Price,Close,Close,Close,Close,Close,Close
Ticker,AAPL,MSFT,AMZN,JPM,CAT,NEE
Date,,,,,,
2020-01-02,72.53852844238281,152.79115295410156,94.90049743652344,119.57341003417969,132.8749237060547,51.782588958740234
2020-01-03,71.83328247070312,150.88858032226562,93.74849700927734,117.99544525146484,131.0300750732422,52.151512145996094
2020-01-06,72.4056625366211,151.2786407470703,95.14399719238281,117.90160369873047,130.94180297851562,52.411922454833984
2020-01-07,72.06515502929688,149.89932250976562,95.34300231933594,115.89720916748047,129.21163940429688,52.366336822509766
2020-01-08,73.22439575195312,152.2869415283203,94.59850311279297,116.80130004882812,130.35919189453125,52.34247589111328
2020-01-09,74.77977752685547,154.18948364257812,95.05249786376953,117.22777557373047,130.03260803222656,52.75261306762695
2020-01-10,74.94880676269531,153.47604370117188,94.15799713134766,116.05926513671875,128.99099731445312,52.85245132446289
2020-01-13,76.55004119873047,155.3214874267578,94.56500244140625,117.0230941772461,129.60011291503906,53.470916748046875
2020-01-14,75.51637268066406,154.2275390625,93.47200012207031,118.38778686523438,129.47647094726562,53.75954055786133
2020-01-15,75.19275665283203,155.22634887695312,93.10099792480469,116.61368560791016,128.4966583251953,54.595027923583984
2020-01-16,76.1346435546875,158.0706024169922,93.89700317382812,117.06572723388672,130.52691650390625,54.74475860595703
2020-01-17,76.9775161743164,158.95526123046875,93.23600006103516,117.87601470947266,131.3624725341797,54.9899787902832
2020-01-21,76.45586395263672,158.38450622558594,94.5999984741211,116.71601867675781,129.6469268798828,55.747337341308594
2020-01-22,76.728759765625,157.62351989746094,94.37300109863281,116.57955169677734,126.78458404541016,56.4005241394043
2020-01-23,77.09827423095703,158.5938262939453,94.22899627685547,116.46013641357422,126.89128875732422,56.43959045410156
2020-01-24,76.87609100341797,156.9956817626953,93.08200073242188,113.56867218017578,124.78460693359375,57.22950744628906
2020-01-27,74.61553192138672,154.37020874023438,91.41699981689453,112.61339569091797,120.65115356445312,57.88487243652344
2020-01-28,76.72634887695312,157.39523315429688,92.6624984741211,114.66043853759766,121.54895782470703,57.68305206298828
2020-01-29,78.33241271972656,159.8494415283203,92.9000015258789,114.48985290527344,120.69560241699219,57.672218322753906
2020-01-30,78.21890258789062,164.35841369628906,93.53399658203125,115.90573120117188,120.3311538696289,58.577125549316406
2020-01-31,74.75077819824219,161.93272399902344,100.43599700927734,112.89485931396484,116.75775909423828,58.20170974731445
2020-02-03,74.54546356201172,165.8804473876953,100.20999908447266,113.75634002685547,115.3532943725586,57.90005874633789
2020-02-04,77.00650787353516,171.3406524658203,102.4834976196289,115.39395141601562,118.67778778076172,57.40745544433594
2020-02-05,77.6344223022461,171.1314239501953,101.99349975585938,117.35569763183594,122.17122650146484,57.878360748291016
2020-02-06,78.54251861572266,174.6795654296875,102.5114974975586,117.37278747558594,122.0022964477539,58.229923248291016
2020-02-07,77.47492218017578,174.92689514160156,103.96399688720703,116.99749755859375,118.55333709716797,58.49250030517578
2020-02-10,77.8428955078125,179.50245666503906,106.69550323486328,117.48370361328125,119.3978271484375,58.96992492675781
2020-02-11,77.3732681274414,175.4501190185547,107.54000091552734,117.70543670654297,121.06006622314453,59.058876037597656
2020-02-12,79.21068572998047,175.70692443847656,108.0,117.70543670654297,124.08231353759766,58.648746490478516
2020-02-13,78.64662170410156,174.75567626953125,107.49349975585938,117.60308074951172,124.19792938232422,59.77936553955078
2020-02-14,78.6659927368164,176.3157501220703,106.74349975585938,117.24483489990234,122.6601333618164,60.44123458862305
2020-02-18,77.22557067871094,178.10411071777344,107.78350067138672,115.69248962402344,121.40674591064453,61.20511245727539
2020-02-19,78.34403228759766,178.63827514648438,108.51100158691406,117.27044677734375,121.6556396484375,59.60575866699219
2020-02-20,77.54029083251953,175.9102325439453,107.65499877929688,117.27044677734375,121.71785736083984,60.117897033691406
2020-02-21,75.78517150878906,170.34925842285156,104.79850006103516,115.8375015258789,121.96674346923828,60.23942184448242
2020-02-24,72.1853256225586,163.0045623779297,100.4645004272461,112.7242660522461,117.4866714477539,59.447349548339844
2020-02-25,69.7402572631836,160.314697265625,98.63700103759766,107.69194030761719,114.6688461303711,58.6639404296875
2020-02-26,70.84660339355469,162.31776428222656,98.97949981689453,108.01606750488281,114.00216674804688,58.4773063659668
2020-02-27,66.21546936035156,150.88104248046875,94.21499633789062,103.52105712890625,109.57540893554688,55.81161117553711
2020-02-28,66.17674255371094,154.53433227539062,94.1875,99.03461456298828,110.43763732910156,55.13755416870117
2020-03-02,72.33785247802734,164.81690979003906,97.69750213623047,103.64900970458984,113.42435455322266,58.53837966918945
2020-03-03,70.04045104980469,156.91896057128906,95.44950103759766,99.75961303710938,110.56208038330078,57.840335845947266
2020-03-04,73.28925323486328,162.6802520751953,98.79149627685547,102.22460174560547,113.2465591430664,61.56401824951172
2020-03-05,70.91197204589844,158.5977325439453,96.20149993896484,97.2093276977539,108.41981506347656,60.242061614990234
2020-03-06,69.9702377319336,154.1146240234375,95.05449676513672,92.1855239868164,107.92203521728516,59.29534149169922
2020-03-09,64.43617248535156,143.66990661621094,90.03050231933594,79.6985092163086,92.5084228515625,56.996124267578125
2020-03-10,69.07693481445312,153.49462890625,94.59100341796875,85.89083862304688,94.65955352783203,55.785430908203125
2020-03-11,66.67787170410156,146.54100036621094,91.04299926757812,81.84793090820312,89.50391387939453,52.6289176940918
2020-03-12,60.093116760253906,132.643310546875,83.83049774169922,75.1011962890625,82.01042938232422,45.56767272949219
2020-03-13,67.29279327392578,151.50103759765625,89.25,88.62879180908203,88.57057189941406,48.33151626586914
2020-03-16,58.635765075683594,129.17124938964844,84.4574966430664,75.36558532714844,83.03268432617188,43.92723083496094
2020-03-17,61.21398162841797,139.80679321289062,90.39199829101562,79.97147369384766,89.0683364868164,48.375160217285156
2020-03-18,59.715457916259766,133.92147827148438,91.5,71.5529556274414,88.99723052978516,45.94941329956055
2020-03-19,59.25791931152344,136.12489318847656,94.04650115966797,72.75562286376953,91.566162109375,45.177188873291016
2020-03-20,55.49589920043945,131.01220703125,92.30449676513672,71.2203140258789,84.89049530029297,41.82871627807617
2020-03-23,54.31694412231445,129.70545959472656,95.1415023803711,67.40766906738281,81.64596557617188,39.6276741027832
2020-03-24,59.76631164550781,141.49505615234375,97.00499725341797,75.4253158569336,90.0816879272461,45.052852630615234
2020-03-25,59.437068939208984,140.14059448242188,94.29199981689453,78.2400131225586,93.0417709350586,45.868709564208984
2020-03-26,62.5648307800293,148.90655517578125,97.77449798583984,83.69026947021484,98.22406768798828,50.41260528564453
2020-03-27,59.97450256347656,142.79232788085938,95.00499725341797,77.72821807861328,93.7262191772461,50.598018646240234
2020-03-30,61.68605041503906,152.83644104003906,98.19750213623047,79.74969482421875,99.29966735839844,53.66509246826172
2020-03-31,61.56017303466797,150.4327392578125,97.48600006103516,76.78998565673828,103.14862823486328,52.489315032958984
2020-04-01,58.321048736572266,145.09112548828125,95.38500213623047,71.95384216308594,98.9796371459961,47.60512161254883
2020-04-02,59.29423522949219,148.09576416015625,95.94149780273438,74.6406021118164,103.7708511352539,49.39823913574219
2020-04-03,58.44210433959961,146.7317657470703,95.32949829101562,72.43439483642578,101.93082427978516,48.348968505859375
2020-04-06,63.54044723510742,157.6439208984375,99.87950134277344,77.09674835205078,107.05091094970703,51.156455993652344
2020-04-07,62.80448913574219,155.9459991455078,100.58000183105469,78.11366271972656,108.37537384033203,49.8432502746582
2020-04-08,64.41195678710938,157.5103759765625,102.1500015258789,81.26785278320312,113.2465591430664,50.93613815307617
2020-04-09,64.87675476074219,157.51988220214844,102.13800048828125,88.55867767333984,111.13988494873047,53.505855560302734
2020-04-13,66.1501235961914,157.87278747558594,108.44349670410156,84.6202621459961,101.45970916748047,51.527305603027344
