Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-01-02,5.971410274505615,5.971410274505615,5.8920109160937795,5.942537823696139,237536000
2020-01-03,5.875831604003906,5.9196385190543355,5.826797767959651,5.851688071391556,205384000
2020-01-06,5.900473117828369,5.905700039221264,5.756359156713934,5.782493763678408,262636000
2020-01-07,5.971907615661621,6.017705602199702,5.883796256515214,5.928847472247913,314856000
2020-01-08,5.9831085205078125,6.024426358974859,5.927603460274644,5.967676522424236,277108000
2020-01-09,6.048819065093994,6.121249669973034,5.995056308289606,6.069477985719002,255112000
2020-01-10,6.081176280975342,6.186461959258033,6.066989057902304,6.156095965769185,316296000
2020-01-13,6.271834850311279,6.296973919615413,6.141658878781784,6.1643093449606505,319840000
2020-01-14,6.154850959777832,6.254411699514828,6.141658799771101,6.229023390430331,359088000
2020-01-15,6.112288475036621,6.189945996094547,6.086402634683979,6.16754476983772,263104000
2020-01-16,6.195919513702393,6.201893205518962,6.142405527455289,6.16580228926058,284192000
2020-01-17,6.2046308517456055,6.222551926626451,6.157090558824123,6.2150846934070065,253792000
2020-01-21,6.171278476715088,6.2048803152981495,6.137178632668914,6.168042628062491,217916000
2020-01-22,6.225289821624756,6.311907638823189,6.19766167564839,6.216578286834284,239240000
2020-01-23,6.293737888336182,6.302200657894387,6.1765053150200355,6.265363445895095,244516000
2020-01-24,6.234498977661133,6.45900874555275,6.18023822520786,6.409228142895195,373512000
2020-01-27,5.9786295890808105,6.029654509408495,5.780254360819612,5.92984450699228,470536000
2020-01-28,6.172024726867676,6.204381786434849,5.991321394689155,6.044586611311332,310976000
2020-01-29,6.111541748046875,6.19367941361647,6.071716979375738,6.157588498886928,258848000
2020-01-30,6.11826229095459,6.131703216878175,5.958716335413208,6.013723391219513,290504000
2020-01-31,5.884793281555176,6.08441281170146,5.842977903818631,6.072465425278687,370420000
2020-02-03,5.981865882873535,6.001280031189923,5.860401411577187,5.866623870666122,255564000
2020-02-04,6.151116847991943,6.170282699054375,6.073708571920442,6.123737942425535,271544000
2020-02-05,6.241468906402588,6.282288739312522,6.158086458793153,6.272083662399272,208220000
2020-02-06,6.328334808349609,6.328334808349609,6.194674710968497,6.275816837273577,218284000
2020-02-07,6.26212739944458,6.310414462729095,6.2367390915720655,6.288262003363611,189752000
2020-02-10,6.545379161834717,6.546125458004338,6.279800269961156,6.284778426217299,529608000
