Date,AAPL_Close,MSFT_Close,NVDA_Close,AMZN_Close,JNJ_Close,JPM_Close,XOM_Close,CAT_Close,PG_Close,NEE_Close,AAPL_Volume,MSFT_Volume,NVDA_Volume,AMZN_Volume,JNJ_Volume,JPM_Volume,XOM_Volume,CAT_Volume,PG_Volume,NEE_Volume
2020-01-03,-0.009721945255710907,-0.012451912806949905,-0.016005888067623708,-0.012139034655920922,-0.011577805962603271,-0.01319643219578781,-0.008039528303322774,-0.013884667082754598,-0.006725679777524585,0.007124464455176005,146322800,21116200,205384000,75288000,5752400,10386800,17386900,3100600,7970500,7097200
2020-01-06,0.007968171920401446,0.0025848863281043855,0.004193543962988766,0.01488557393050649,-0.0012475263170009798,-0.0007951688802789736,0.0076782882475443515,-0.0006735617465372101,0.0013869854078150112,0.004993341845140886,118387200,20813700,262636000,81236000,7731300,10259000,20081900,2549600,6674400,5518800
2020-01-07,-0.004703195043136987,-0.009117934614371714,0.01210681460472407,0.0020916204156393725,0.006106704948755537,-0.017000441127015153,-0.008184214841737925,-0.013213109000137724,-0.006191576845592794,-0.0008696114187810577,108872000,21634100,314856000,80898000,7382900,10531300,17387700,2841900,7583400,6653200
2020-01-08,0.01608643574308033,0.01592856124921105,0.0018755988502074938,-0.007808640261289357,-0.00013775217547828955,0.007800798386874419,-0.015080343769085847,0.008880947896289682,0.004262784795711738,-0.0004558725165401123,132079200,27746500,277108000,70160000,6605800,9695300,15137700,2153200,5385100,5936000
2020-01-09,0.021240780314388807,0.012492736926492665,0.010982594925359468,0.0047991747864684076,0.0029660736211893912,0.0036514210697726757,0.007655585199572323,-0.002505378827348359,0.010937915714091195,0.007835939895916244,170108400,21385000,255112000,63346000,6112700,9469000,14811800,2272500,5944000,6958000
2020-01-10,0.002260564981066304,-0.004627034644372641,0.005349186230922287,-0.009410596802031268,-0.0022693104378155304,-0.009968120990677454,-0.008887426503935147,-0.008010148072916445,0.0009687311303272494,0.0018923574113498542,140644800,20725900,316296000,57074000,5042600,10190900,11995600,2393700,3927100,5125600
2020-01-13,0.021364479270465475,0.012024313684630084,0.03135233256097503,0.004322578245699482,0.0044116389501367426,0.00830456241470623,0.009545677714067002,0.00472191932529209,0.007340495044077855,0.011701808855057783,121532000,21626500,319840000,55616000,4593200,12355200,9953900,3355200,8409200,5879600
2020-01-14,-0.013503373227088611,-0.007043026296800758,-0.018652183370307163,-0.011558211718052602,0.005627999438900355,0.011661543376286332,-0.008596004947180269,-0.0009536737100768189,-0.0015214929502362917,0.0053978432027212975,161954400,23477400,359088000,68818000,7037500,24906000,16261000,2742200,7829700,8252800
2020-01-15,-0.004285376557877862,0.006476209886662865,-0.0069152741019885555,-0.003969126548924895,0.003344509879367852,-0.014985448518171962,-0.0015895430809135247,-0.007567612541631963,0.010185435187922032,0.015540978469626321,121923600,21417900,263104000,57932000,4960300,16293400,11390300,2640500,4843700,6397200
2020-01-16,0.01252660526237559,0.0183234634956575,0.013682441933661194,0.00854991102959346,0.008094521295841428,0.003876599907908451,-0.0039078305368206445,0.015799966679163058,0.000873233811641283,0.002742710066975018,108829200,23865400,284192000,53190000,6476000,10783800,13340300,3070900,6233700,7914400
2020-01-17,0.011071115381805718,0.005596701558288286,0.0014059027907646904,-0.00703966144232826,0.006545237256976977,0.006921775941784336,-0.0037781040000464117,0.006401759320643352,0.0026971083827300735,0.0044793362975845685,137816400,34371700,253792000,79946000,9083600,14697700,18144100,3331500,11315200,9354000
2020-01-21,-0.006777175826873649,-0.003590567761647123,-0.005375246675121348,0.014629525206926841,0.0006704372494021893,-0.0098408135481588,-0.014294042013872632,-0.013059978234337577,-0.0025316681037923505,0.013772734276022103,110843200,29517200,217916000,74156000,9543900,8474200,17982600,2476700,8553100,11486400
2020-01-22,0.003569624542795191,-0.004804867874322327,0.008751972533692642,-0.0023995494624704516,-0.006833313018820619,-0.0011694183186470308,-0.005770956406492833,-0.022077692802011217,0.0017448076829436054,0.011717050785656324,101832400,24138800,239240000,64326000,10305300,7549100,17033100,3602400,7396700,7065600
